district_id,district_name,taluk_id,taluk_name,gp_id,gp_name,village_id,village_name,police_station_name,police_station_latitude,police_station_longitude
524,Bagalkote,5447,Bagalkot,215183.0,Bel-Kerur,598827,Achanur,Amengad PS,16.05702,75.96306
524,Bagalkote,5446,Badami,215148.0,Adagal,598748,Adagal,Badami PS,15.905201,75.660426
524,Bagalkote,5448,Hungund,215232.0,Dhannur,598944,Adihal,Bagalkot CEN Crime PS,16.154825,75.65418
524,Bagalkote,5443,Jamkhandi,273113.0,Adihudi,598464,Adihudi,Bagalkot Rural PS,16.17136,75.70093
524,Bagalkote,5446,Badami,215158.0,Huligeri,598647,Agasarakoppa,Bagalkot Town PS,16.13015,75.67049
524,Bagalkote,5445,Mudhol,215305.0,Nagaral,598558,Akkimaradi,Bagalkot Traffic PS,16.17657,75.67693
524,Bagalkote,5446,Badami,215173.0,Mutalgeri,598713,Aladakatti,Bagalkot Women PS,16.133374,75.671611
524,Bagalkote,5445,Mudhol,215299.0,Machaknur,598588,Alagundi(B.K),Banahatti PS,16.48959,75.12887
524,Bagalkote,5443,Jamkhandi,215254.0,Algur,598433,Alagur,Bilagi PS,16.35678,75.59845
524,Bagalkote,5443,Jamkhandi,215279.0,Muttur,598429,Albal,Guledagudda PS,16.03857,75.77939
524,Bagalkote,5444,Bilgi,215207.0,Chikkalagundi,598510,Algundi,Hungunda PS,16.04932,76.06129
524,Bagalkote,7061,Guledgudda,215153.0,Haldur,598672,Allur. S.P.,Ilakal PS,15.96029,76.11809
524,Bagalkote,5447,Bagalkot,215199.0,Rampur,598815,Alur,Ilakal Rural PS,15.977449,76.126128
524,Bagalkote,5446,Badami,273085.0,Alur-Sk,598724,Alur .S.K.,Jamakhandi Rural PS,16.52772,75.2848
524,Bagalkote,5444,Bilgi,215223.0,Yadahalli,598473,Amalzari,Jamakhandi Town PS,16.51652,75.29343
524,Bagalkote,7062,Ilkal,215244.0,Karadi,598955,Amarawadgi,Kaladagi PS,16.19119,75.48196
524,Bagalkote,5448,Hungund,215224.0,Amarawati,598975,Amarawati,Kerur PS,16.02534,75.5455
524,Bagalkote,5448,Hungund,215248.0,Mugnoor,598872,Amblikoppa,Lokapur PS,16.09077,75.23823
524,Bagalkote,5448,Hungund,,,599027,Aminagad (Ct),Mahalingapur PS,16.38507,75.09839
524,Bagalkote,5447,Bagalkot,215203.0,Yadahalli,598782,Anadinni,Mudhol PS,16.33123,75.26777
524,Bagalkote,5444,Bilgi,215204.0,Anagwadi,598541,Anagawadi,Navanagara PS,16.16634,75.64514
524,Bagalkote,5446,Badami,215157.0,Hosur,598769,Anantagiri,Savalgi PS,16.67672,75.35956
524,Bagalkote,5448,Hungund,273108.0,Havaragi,598952,Anapakatti,Teradal PS,16.51006,75.05513
524,Bagalkote,5446,Badami,215149.0,Anawal,598636,Anawal,Amengad PS,16.04146,75.95602
524,Bagalkote,5447,Bagalkot,215192.0,Kadampur,598792,Andamuranal,Badami PS,15.910151,75.692596
524,Bagalkote,5447,Bagalkot,215194.0,Khajidoni,598773,Ankalagi,Bagalkot CEN Crime PS,16.166955,75.6769
524,Bagalkote,5445,Mudhol,273119.0,Baragi,598593,Antapur,Bagalkot Rural PS,16.16902,75.67722
