district_id,district_name,taluk_id,taluk_name,gp_id,gp_name,village_id,village_name,police_station_name,latitude,longitude
524,Bagalkote,5447,Bagalkot,215183.0,Bel-Kerur,598827,Achanur,Amengad PS,16.222989399918916,75.70800376248137
524,Bagalkote,5446,Badami,215148.0,Adagal,598748,Adagal,Badami PS,16.17374153333307,75.72319988740527
524,Bagalkote,5448,Hungund,215232.0,Dhannur,598944,Adihal,Bagalkot CEN Crime PS,16.144247843758162,75.68922338415454
524,Bagalkote,5443,Jamkhandi,273113.0,Adihudi,598464,Adihudi,Bagalkot Rural PS,16.22683550324319,75.6849614967568
524,Bagalkote,5446,Badami,215158.0,Huligeri,598647,Agasarakoppa,Bagalkot Town PS,16.20552707050164,75.71086307582725
524,Bagalkote,5445,Mudhol,215305.0,Nagaral,598558,Akkimaradi,Bagalkot Traffic PS,16.21055238889277,75.6932669293433
524,Bagalkote,5446,Badami,215173.0,Mutalgeri,598713,Aladakatti,Bagalkot Women PS,16.19537516438494,75.72342523925067
524,Bagalkote,5445,Mudhol,215299.0,Machaknur,598588,Alagundi(B.K),Banahatti PS,16.211221648349483,75.71803917035194
524,Bagalkote,5443,Jamkhandi,215254.0,Algur,598433,Alagur,Bilagi PS,16.17354169134071,75.67834387527789
524,Bagalkote,5443,Jamkhandi,215279.0,Muttur,598429,Albal,Guledagudda PS,16.186278467327064,75.68419441113583
524,Bagalkote,5444,Bilgi,215207.0,Chikkalagundi,598510,Algundi,Hungunda PS,16.196066416718853,75.72030557593845
524,Bagalkote,7061,Guledgudda,215153.0,Haldur,598672,Allur. S.P.,Ilakal PS,16.210512589419746,75.71921454081291
524,Bagalkote,5447,Bagalkot,215199.0,Rampur,598815,Alur,Ilakal Rural PS,16.191701157854723,75.66650641626775
524,Bagalkote,5446,Badami,273085.0,Alur-Sk,598724,Alur .S.K.,Jamakhandi Rural PS,16.210590989314447,75.68918967850705
524,Bagalkote,5444,Bilgi,215223.0,Yadahalli,598473,Amalzari,Jamakhandi Town PS,16.19420200215414,75.72655739298327
524,Bagalkote,7062,Ilkal,215244.0,Karadi,598955,Amarawadgi,Kaladagi PS,16.223439232859057,75.72645385982884
524,Bagalkote,5448,Hungund,215224.0,Amarawati,598975,Amarawati,Kerur PS,16.170643159425044,75.69382566474484
524,Bagalkote,5448,Hungund,215248.0,Mugnoor,598872,Amblikoppa,Lokapur PS,16.151367626812963,75.6974626011973
524,Bagalkote,5448,Hungund,,,599027,Aminagad (Ct),Mahalingapur PS,16.170698681268856,75.65944499097085
524,Bagalkote,5447,Bagalkot,215203.0,Yadahalli,598782,Anadinni,Mudhol PS,16.173210312144413,75.65794958176784
524,Bagalkote,5444,Bilgi,215204.0,Anagwadi,598541,Anagawadi,Navanagara PS,16.178164629181026,75.69751333456368
524,Bagalkote,5446,Badami,215157.0,Hosur,598769,Anantagiri,Savalgi PS,16.22761975310537,75.71782809484228
524,Bagalkote,5448,Hungund,273108.0,Havaragi,598952,Anapakatti,Teradal PS,16.1520419264087,75.66279779543834
524,Bagalkote,5446,Badami,215149.0,Anawal,598636,Anawal,Amengad PS,16.222456985867474,75.7082330726402
524,Bagalkote,5447,Bagalkot,215192.0,Kadampur,598792,Andamuranal,Badami PS,16.17483288627974,75.72311929600488
524,Bagalkote,5447,Bagalkot,215194.0,Khajidoni,598773,Ankalagi,Bagalkot CEN Crime PS,16.145666737526028,75.69296747577054
524,Bagalkote,5445,Mudhol,273119.0,Baragi,598593,Antapur,Bagalkot Rural PS,16.220654088226226,75.68637562226617
524,Bagalkote,5444,Bilgi,215205.0,Arakeri,598515,Arakeri,Bagalkot Town PS,16.200932071188134,75.71427065828878
524,Bagalkote,7061,Guledgudda,215169.0,Layadgundi,598673,Asangi,Bagalkot Traffic PS,16.209307814006504,75.69938460624618
524,Bagalkote,7063,Rabakavi Banahatti,215255.0,Asangi,598407,Asangi,Bagalkot Women PS,16.190134637120813,75.72272380543349
524,Bagalkote,5446,Badami,215180.0,Pattadkal,598741,Bachinagudd,Banahatti PS,16.2110664464112,75.71842234043716
524,Bagalkote,5444,Bilgi,273101.0,Badagandi,598502,Badagandi,Bilagi PS,16.177931466933046,75.67517791657747
524,Bagalkote,5446,Badami,215148.0,Adagal,598750,Badami (Rural) *,Guledagudda PS,16.185524794358084,75.6838575829749
524,Bagalkote,5444,Bilgi,215212.0,Honnihal,598530,Badardinni,Hungunda PS,16.19726871897743,75.71383864354328
524,Bagalkote,5444,Bilgi,215206.0,Badagi,598490,Badgi,Ilakal PS,16.211741813137156,75.71668498592018
524,Bagalkote,5445,Mudhol,215286.0,Bantnur,598607,Badnur,Ilakal Rural PS,16.194529981729136,75.66492205212474
524,Bagalkote,5447,Bagalkot,,,598844,Bagalkot (Rural),Jamakhandi Rural PS,16.211975368742237,75.69067324965737
524,Bagalkote,7062,Ilkal,215226.0,Balkundi,599016,Balakundi,Jamakhandi Town PS,16.18894778720098,75.72205307830491
524,Bagalkote,5444,Bilgi,215222.0,Teggi,598494,Ballur,Kaladagi PS,16.219986041588715,75.725168101219
524,Bagalkote,5446,Badami,215158.0,Huligeri,598632,Bandakeri,Kerur PS,16.17319362899019,75.6968552928935
524,Bagalkote,7063,Rabakavi Banahatti,273118.0,Yallatti,598411,Bandigani,Lokapur PS,16.154492219419662,75.69874937742506
524,Bagalkote,7063,Rabakavi Banahatti,215267.0,Jagdal,598414,Banhatti (Rural),Mahalingapur PS,16.164667238134726,75.66238303300301
524,Bagalkote,5446,Badami,273092.0,Narasapur,598718,Bankaneri,Mudhol PS,16.172583811755267,75.66154810087569
524,Bagalkote,5447,Bagalkot,215196.0,Murnal,598783,Bannidinni,Navanagara PS,16.17881493410488,75.69381757793937
524,Bagalkote,5448,Hungund,273109.0,Hire Badawadagi,598940,Bannihatti,Savalgi PS,16.227166497183156,75.7191009895764
524,Bagalkote,5445,Mudhol,273119.0,Baragi,598585,Baragi,Teradal PS,16.153545183980036,75.65896963107214
