village_id,village_name,taluk_id,taluk_name,district_id,district_name,gp_id,gp_name
598748,Adagal,5446,Badami,524,Bagalkote,215148.0,Adagal
598647,Agasarakoppa,5446,Badami,524,Bagalkote,215158.0,Huligeri
598713,Aladakatti,5446,Badami,524,Bagalkote,215173.0,Mutalgeri
598724,Alur .S.K.,5446,Badami,524,Bagalkote,273085.0,Alur-Sk
598769,Anantagiri,5446,Badami,524,Bagalkote,215157.0,Hosur
598636,Anawal,5446,Badami,524,Bagalkote,215149.0,Anawal
598741,Bachinagudd,5446,Badami,524,Bagalkote,215180.0,Pattadkal
598750,Badami (Rural) *,5446,Badami,524,Bagalkote,215148.0,Adagal
598632,Bandakeri,5446,Badami,524,Bagalkote,215158.0,Huligeri
598718,Bankaneri,5446,Badami,524,Bagalkote,273092.0,Narasapur
598736,Bedarabudihal,5446,Badami,524,Bagalkote,215155.0,Hansanur
598726,Beeranur,5446,Badami,524,Bagalkote,273085.0,Alur-Sk
598717,Belawalakoppa,5446,Badami,524,Bagalkote,273092.0,Narasapur
598641,Bellikindi,5446,Badami,524,Bagalkote,273089.0,Kainakatti
598766,Belur,5446,Badami,524,Bagalkote,215150.0,Belur
598740,Bhadra Nayakan Jalihal,5446,Badami,524,Bagalkote,215180.0,Pattadkal
598758,Budihal,5446,Badami,524,Bagalkote,215164.0,Kataraki
598735,Chikkamuchalagudda,5446,Badami,524,Bagalkote,215154.0,Halkurki
598755,Chikkanasabi,5446,Badami,524,Bagalkote,215164.0,Kataraki
598709,Chimmanakatti,5446,Badami,524,Bagalkote,215162.0,Kaknur
598654,Chinchalakatti,5446,Badami,524,Bagalkote,215152.0,Fakirbhudihal
598710,Chirlakoppa,5446,Badami,524,Bagalkote,215166.0,Kulageri Cross
598756,Cholachagudda,5446,Badami,524,Bagalkote,215151.0,Cholachagud
598765,Dhanakashirur,5446,Badami,524,Bagalkote,215150.0,Belur
598643,Fakeerabudihal,5446,Badami,524,Bagalkote,215152.0,Fakirbhudihal
598627,Ganganabudihal,5446,Badami,524,Bagalkote,215178.0,Neerbhudihal
598743,Gonal,5446,Badami,524,Bagalkote,215171.0,Mangalore
598746,Govanaki,5446,Badami,524,Bagalkote,215175.0,Nandikeshwar
598727,Govanakoppa,5446,Badami,524,Bagalkote,273085.0,Alur-Sk
598649,Gubberakoppa,5446,Badami,524,Bagalkote,215159.0,Hullikeri
598768,Guddada Mallapur,5446,Badami,524,Bagalkote,215157.0,Hosur
598723,Haganur,5446,Badami,524,Bagalkote,273085.0,Alur-Sk
598699,Halageri,5446,Badami,524,Bagalkote,215170.0,Mamtageri
598658,Halakurki,5446,Badami,524,Bagalkote,215154.0,Halkurki
598698,Haligeri,5446,Badami,524,Bagalkote,273086.0,Haligeri
598655,Hanamaneri (G),5446,Badami,524,Bagalkote,215152.0,Fakirbhudihal
598623,Hanamaneri Inam,5446,Badami,524,Bagalkote,215149.0,Anawal
598705,Hanamasagar,5446,Badami,524,Bagalkote,215172.0,Mustigeri
598642,Hawalakhod,5446,Badami,524,Bagalkote,273089.0,Kainakatti
598732,Hebballi,5446,Badami,524,Bagalkote,215156.0,Hebbali
598734,Hiremuchalagudda,5446,Badami,524,Bagalkote,215154.0,Halkurki
598754,Hirenasabi,5446,Badami,524,Bagalkote,215171.0,Mangalore
598631,Hoolageri,5446,Badami,524,Bagalkote,215158.0,Huligeri
598637,Hosakoti,5446,Badami,524,Bagalkote,273089.0,Kainakatti
598753,Hosur,5446,Badami,524,Bagalkote,215157.0,Hosur
598657,Hullikeri Inam,5446,Badami,524,Bagalkote,215159.0,Hullikeri
598759,Jakanur,5446,Badami,524,Bagalkote,215164.0,Kataraki
598634,Jalageri,5446,Badami,524,Bagalkote,215178.0,Neerbhudihal
598767,Jalihal,5446,Badami,524,Bagalkote,215160.0,Jalihal
598640,Jangawad,5446,Badami,524,Bagalkote,273089.0,Kainakatti
598749,Kabbalageri,5446,Badami,524,Bagalkote,215148.0,Adagal
598656,Kadapatti S.K,5446,Badami,524,Bagalkote,215159.0,Hullikeri
598622,Kadarakoppa,5446,Badami,524,Bagalkote,273089.0,Kainakatti
598629,Kagalagomba,5446,Badami,524,Bagalkote,215181.0,Sulikeri
598638,Kainakatti,5446,Badami,524,Bagalkote,273089.0,Kainakatti
598708,Kakanur,5446,Badami,524,Bagalkote,215162.0,Kaknur
598635,Kalabandakeri,5446,Badami,524,Bagalkote,215149.0,Anawal
598729,Kalas,5446,Badami,524,Bagalkote,215167.0,Kittali
598706,Kallapur.S.K,5446,Badami,524,Bagalkote,215170.0,Mamtageri
598625,Karadigudd S.A.,5446,Badami,524,Bagalkote,215172.0,Mustigeri
598702,Karadigudda.S.A.,5446,Badami,524,Bagalkote,215178.0,Neerbhudihal
598722,Karalakoppa,5446,Badami,524,Bagalkote,215162.0,Kaknur
598762,Katharaki,5446,Badami,524,Bagalkote,215164.0,Kataraki
598738,Kendur,5446,Badami,524,Bagalkote,273090.0,Kenduru
598628,Kerakalamatti,5446,Badami,524,Bagalkote,215181.0,Sulikeri
598652,Kerur (Rural),5446,Badami,524,Bagalkote,215170.0,Mamtageri
598711,Khanapur S.K.,5446,Badami,524,Bagalkote,215166.0,Kulageri Cross
598763,Khyad,5446,Badami,524,Bagalkote,215151.0,Cholachagud
598730,Kittali,5446,Badami,524,Bagalkote,215167.0,Kittali
598721,Kulageri,5446,Badami,524,Bagalkote,215166.0,Kulageri Cross
598737,Kutakanakeri,5446,Badami,524,Bagalkote,273090.0,Kenduru
598716,Lakhamapur,5446,Badami,524,Bagalkote,215156.0,Hebbali
598645,Malagi,5446,Badami,524,Bagalkote,215158.0,Huligeri
598715,Mallapur,5446,Badami,524,Bagalkote,215156.0,Hebbali
598704,Mamatageri,5446,Badami,524,Bagalkote,215170.0,Mamtageri
598745,Mangalur,5446,Badami,524,Bagalkote,215171.0,Mangalore
598650,Maninagar,5446,Badami,524,Bagalkote,215159.0,Hullikeri
598764,Manneri,5446,Badami,524,Bagalkote,215164.0,Kataraki
598651,Mattikatti,5446,Badami,524,Bagalkote,215159.0,Hullikeri
598733,Mumaraddikoppa,5446,Badami,524,Bagalkote,215156.0,Hebbali
598701,Mustigeri,5446,Badami,524,Bagalkote,215172.0,Mustigeri
598714,Muttalageri,5446,Badami,524,Bagalkote,215173.0,Mutalgeri
598751,Nagaral [S.B],5446,Badami,524,Bagalkote,215151.0,Cholachagud
598739,Nandikeshwar,5446,Badami,524,Bagalkote,215175.0,Nandikeshwar
598720,Narasapur,5446,Badami,524,Bagalkote,273092.0,Narasapur
598644,Narenur,5446,Badami,524,Bagalkote,215152.0,Fakirbhudihal
598770,Nasagunni,5446,Badami,524,Bagalkote,215157.0,Hosur
598752,Navilahole,5446,Badami,524,Bagalkote,215171.0,Mangalore
598703,Neelagund,5446,Badami,524,Bagalkote,215176.0,Neelgund
