X,Y,fid,osm_id,code,fclass,population,name
79.9458077,12.9666144,7,"243327628",1002,town,0,Sriperumbudur
80.1010677,13.0492031,8,"243327788",1002,town,0,Poonamallee
79.0944011,13.3475231,10,"243711632",1003,village,5583,Puthalapattu
79.2079425,13.1696159,11,"243711661",1004,hamlet,0,Kasapet
79.2128484,13.1673168,12,"243711668",1003,village,0,Ananthapuram
79.3541555,13.1125855,13,"243711679",1003,village,0,Gopalapuram
79.3627129,12.9766261,15,"243713142",1003,village,0,Ammoor
79.1309695,12.9071753,16,"243713144",1001,city,186000,Vellore
77.4315437,8.1839904,17,"245580128",1001,city,225000,Nagercoil
77.7673663,8.1967654,18,"245580136",1003,village,0,Avudaiyalpuram
77.2630865,8.3950009,19,"245580820",1003,village,0,Thirparappu
78.0263978,8.4285429,20,"245580881",1003,village,0,Udangudi
77.6596709,8.4892568,21,"245581303",1002,town,0,Nanguneri
76.947551,8.4882267,22,"245581432",1001,city,744983,Thiruvananthapuram
78.0956681,8.569964,23,"245581468",1003,village,0,Arumuganeri
77.6696461,8.5898027,24,"245581571",1003,village,0,Vagaikkulam
77.9719457,8.5599258,25,"245581609",1002,town,10000,Nazareth
77.6152217,8.6718741,26,"245581738",1003,village,0,Melacheval
77.3892867,8.7141792,28,"245581822",1003,village,0,Vikramasingapuram
77.710255,8.7331721,29,"245581857",1001,city,100000,Tirunelveli
77.3985651,8.782604,30,"245581905",1002,town,0,Alwarkuruchi
76.5906696,8.8870533,31,"245582090",1001,city,0,Kollam
76.8601206,8.8978612,32,"245582136",1002,town,5000,Ayoor
77.0564917,8.9065347,33,"245582143",1002,town,33271,Kulathupuzha
78.0218901,8.9107366,34,"245582181",1002,town,0,Ottappidaram
78.0883164,8.9314342,35,"245582222",1003,village,0,Kurukkuchalai
77.3121442,8.9567514,36,"245582256",1002,town,0,Tenkasi
76.7831987,9.0054869,37,"245582478",1002,town,0,Kottarakkara
78.351854,9.1314962,38,"245582627",1003,village,0,Sevalpatti
78.167316,9.130928,39,"245582675",1002,town,0,Vilattikulam
77.9971639,9.1485222,40,"245582795",1002,town,0,Ettaiyapuram
77.535369,9.170073,41,"245582958",1002,town,0,Sankarankovil
77.3966381,9.1756002,42,"245583048",1002,town,0,Puliyangudi
76.4562679,9.2844934,43,"245583686",1002,town,10000,Haripad
78.843145,9.2490483,44,"245583689",1003,village,0,Sethu Karai
79.1526713,9.282701,45,"245583753",1002,town,0,Mandapam
78.1357458,9.2943506,46,"245583770",1003,village,0,Pudur
77.5485206,9.2901706,47,"245583779",1003,village,0,Paruvakkudi
78.9958348,9.3036696,48,"245583830",1003,village,0,Agastiarkuttam
78.5155232,9.3444333,49,"245583902",1003,village,0,Mudukulattur
77.9211286,9.3516337,50,"245583914",1002,town,0,Sattur
77.5542849,9.4456102,51,"245584040",1002,town,130400,Rajapalayam
78.8967566,9.4749165,52,"245584065",1002,town,0,Devipattinam
77.7272053,9.48068,53,"245584079",1003,village,0,Saminattam
76.3291487,9.4923271,54,"245584105",1001,city,177000,Alappuzha
78.0958971,9.5073229,55,"245584138",1002,town,0,Aruppukkottai
77.9537,9.58224,56,"245584469",1002,town,0,Virudhunagar
76.4305378,9.5960545,57,"245584504",1003,village,0,Kumarakom
78.8468952,9.6370191,58,"245584566",1003,village,0,R.S. Mangalam
