taluk_id,taluk_name,district_id,district_name
5446,Badami,524,Bagalkote
5447,Bagalkot,524,Bagalkote
5444,Bilgi,524,Bagalkote
7061,Guledgudda,524,Bagalkote
5448,Hungund,524,Bagalkote
7062,Ilkal,524,Bagalkote
5443,Jamkhandi,524,Bagalkote
5445,Mudhol,524,Bagalkote
7063,Rabakavi Banahatti,524,Bagalkote
7398,Terdal,524,Bagalkote
5500,Ballari,528,Ballari
7107,Kampli,528,Ballari
7109,Kurugodu,528,Ballari
5501,Sandur,528,Ballari
5499,Siruguppa,528,Ballari
5434,Athni,527,Belagavi
5440,Bailahongala,527,Belagavi
5438,Belagavi,527,Belagavi
5433,Chikodi,527,Belagavi
5436,Gokak,527,Belagavi
5437,Hukkeri,527,Belagavi
7100,Kagwad,527,Belagavi
5439,Khanapur,527,Belagavi
7043,Kittur,527,Belagavi
7099,Mudalgi,527,Belagavi
7105,Nippani,527,Belagavi
5442,Ramdurg,527,Belagavi
5435,Raybag,527,Belagavi
5441,Savadatti,527,Belagavi
7195,Yaragatti,527,Belagavi
5603,Devanahalli,526,Bengaluru Rural
5602,Doddaballapura,526,Bengaluru Rural
5604,Hosakote,526,Bengaluru Rural
5601,Nelamangala,526,Bengaluru Rural
5607,Channapatna,631,Bengaluru South
7196,Harohalli,631,Bengaluru South
5608,Kanakapura,631,Bengaluru South
5605,Magadi,631,Bengaluru South
5606,Ramanagara,631,Bengaluru South
5545,Anekal,525,Bengaluru Urban
5544,Bengaluru East,525,Bengaluru Urban
5542,Bengaluru North,525,Bengaluru Urban
5543,Bengaluru South,525,Bengaluru Urban
7103,Yelahanka,525,Bengaluru Urban
5456,Aurad,529,Bidar
5454,Basavakalyan,529,Bidar
5455,Bhalki,529,Bidar
5457,Bidar,529,Bidar
7084,Chitaguppa,529,Bidar
5458,Homnabad,529,Bidar
7086,Hulsoor,529,Bidar
7085,Kamalnagar,529,Bidar
5577,Chamarajanagar,531,Chamarajanagar
5576,Gundlupet,531,Chamarajanagar
7077,Hanur,531,Chamarajanagar
5579,Kollegal,531,Chamarajanagar
5578,Yelandur,531,Chamarajanagar
5598,Bagepalli,630,Chikkaballapura
7407,Chelur,630,Chikkaballapura
5596,Chikkaballapura,630,Chikkaballapura
5600,Chintamani,630,Chikkaballapura
5595,Gauribidanur,630,Chikkaballapura
5597,Gudibanda,630,Chikkaballapura
7404,Manchenahalli,630,Chikkaballapura
5599,Sidlaghatta,630,Chikkaballapura
7078,Ajjampura,532,Chikkamagaluru
5530,Chikkamagaluru,532,Chikkamagaluru
5529,Kadur,532,Chikkamagaluru
7194,Kalasa,532,Chikkamagaluru
5526,Koppa,532,Chikkamagaluru
5531,Mudigere,532,Chikkamagaluru
5527,Narasimharajapura,532,Chikkamagaluru
5525,Sringeri,532,Chikkamagaluru
5528,Tarikere,532,Chikkamagaluru
5504,Challakere,533,Chitradurga
