village_id,village_name,taluk_id,taluk_name,district_id,district_name
598748,Adagal,5446,Badami,524,Bagalkote
598647,Agasarakoppa,5446,Badami,524,Bagalkote
598713,Aladakatti,5446,Badami,524,Bagalkote
598724,Alur .S.K.,5446,Badami,524,Bagalkote
598769,Anantagiri,5446,Badami,524,Bagalkote
598636,Anawal,5446,Badami,524,Bagalkote
598741,Bachinagudd,5446,Badami,524,Bagalkote
598750,Badami (Rural) *,5446,Badami,524,Bagalkote
598632,Bandakeri,5446,Badami,524,Bagalkote
598718,Bankaneri,5446,Badami,524,Bagalkote
598736,Bedarabudihal,5446,Badami,524,Bagalkote
598726,Beeranur,5446,Badami,524,Bagalkote
598717,Belawalakoppa,5446,Badami,524,Bagalkote
598641,Bellikindi,5446,Badami,524,Bagalkote
598766,Belur,5446,Badami,524,Bagalkote
598740,Bhadra Nayakan Jalihal,5446,Badami,524,Bagalkote
598758,Budihal,5446,Badami,524,Bagalkote
598735,Chikkamuchalagudda,5446,Badami,524,Bagalkote
598755,Chikkanasabi,5446,Badami,524,Bagalkote
598709,Chimmanakatti,5446,Badami,524,Bagalkote
598654,Chinchalakatti,5446,Badami,524,Bagalkote
598710,Chirlakoppa,5446,Badami,524,Bagalkote
598756,Cholachagudda,5446,Badami,524,Bagalkote
598765,Dhanakashirur,5446,Badami,524,Bagalkote
598643,Fakeerabudihal,5446,Badami,524,Bagalkote
598627,Ganganabudihal,5446,Badami,524,Bagalkote
598743,Gonal,5446,Badami,524,Bagalkote
598746,Govanaki,5446,Badami,524,Bagalkote
598727,Govanakoppa,5446,Badami,524,Bagalkote
598649,Gubberakoppa,5446,Badami,524,Bagalkote
598768,Guddada Mallapur,5446,Badami,524,Bagalkote
598723,Haganur,5446,Badami,524,Bagalkote
598699,Halageri,5446,Badami,524,Bagalkote
598658,Halakurki,5446,Badami,524,Bagalkote
598698,Haligeri,5446,Badami,524,Bagalkote
598655,Hanamaneri (G),5446,Badami,524,Bagalkote
598623,Hanamaneri Inam,5446,Badami,524,Bagalkote
598705,Hanamasagar,5446,Badami,524,Bagalkote
598642,Hawalakhod,5446,Badami,524,Bagalkote
598732,Hebballi,5446,Badami,524,Bagalkote
598734,Hiremuchalagudda,5446,Badami,524,Bagalkote
598754,Hirenasabi,5446,Badami,524,Bagalkote
598631,Hoolageri,5446,Badami,524,Bagalkote
598637,Hosakoti,5446,Badami,524,Bagalkote
598753,Hosur,5446,Badami,524,Bagalkote
598657,Hullikeri Inam,5446,Badami,524,Bagalkote
598759,Jakanur,5446,Badami,524,Bagalkote
598634,Jalageri,5446,Badami,524,Bagalkote
598767,Jalihal,5446,Badami,524,Bagalkote
598640,Jangawad,5446,Badami,524,Bagalkote
598749,Kabbalageri,5446,Badami,524,Bagalkote
598656,Kadapatti S.K,5446,Badami,524,Bagalkote
598622,Kadarakoppa,5446,Badami,524,Bagalkote
598629,Kagalagomba,5446,Badami,524,Bagalkote
598638,Kainakatti,5446,Badami,524,Bagalkote
598708,Kakanur,5446,Badami,524,Bagalkote
598635,Kalabandakeri,5446,Badami,524,Bagalkote
598729,Kalas,5446,Badami,524,Bagalkote
598706,Kallapur.S.K,5446,Badami,524,Bagalkote
598625,Karadigudd S.A.,5446,Badami,524,Bagalkote
598702,Karadigudda.S.A.,5446,Badami,524,Bagalkote
598722,Karalakoppa,5446,Badami,524,Bagalkote
598762,Katharaki,5446,Badami,524,Bagalkote
598738,Kendur,5446,Badami,524,Bagalkote
598628,Kerakalamatti,5446,Badami,524,Bagalkote
598652,Kerur (Rural),5446,Badami,524,Bagalkote
598711,Khanapur S.K.,5446,Badami,524,Bagalkote
598763,Khyad,5446,Badami,524,Bagalkote
598730,Kittali,5446,Badami,524,Bagalkote
598721,Kulageri,5446,Badami,524,Bagalkote
598737,Kutakanakeri,5446,Badami,524,Bagalkote
598716,Lakhamapur,5446,Badami,524,Bagalkote
598645,Malagi,5446,Badami,524,Bagalkote
598715,Mallapur,5446,Badami,524,Bagalkote
598704,Mamatageri,5446,Badami,524,Bagalkote
598745,Mangalur,5446,Badami,524,Bagalkote
598650,Maninagar,5446,Badami,524,Bagalkote
598764,Manneri,5446,Badami,524,Bagalkote
598651,Mattikatti,5446,Badami,524,Bagalkote
598733,Mumaraddikoppa,5446,Badami,524,Bagalkote
598701,Mustigeri,5446,Badami,524,Bagalkote
598714,Muttalageri,5446,Badami,524,Bagalkote
598751,Nagaral [S.B],5446,Badami,524,Bagalkote
598739,Nandikeshwar,5446,Badami,524,Bagalkote
598720,Narasapur,5446,Badami,524,Bagalkote
598644,Narenur,5446,Badami,524,Bagalkote
598770,Nasagunni,5446,Badami,524,Bagalkote
598752,Navilahole,5446,Badami,524,Bagalkote
598703,Neelagund,5446,Badami,524,Bagalkote
598626,Neerabudihal,5446,Badami,524,Bagalkote
598760,Neeralagi,5446,Badami,524,Bagalkote
598696,Neeralakeri,5446,Badami,524,Bagalkote
598747,Nelwagi,5446,Badami,524,Bagalkote
598742,Pattadakall,5446,Badami,524,Bagalkote
598697,Raddera Timmapur,5446,Badami,524,Bagalkote
598653,Saganur,5446,Badami,524,Bagalkote
598639,Sheeparamatti,5446,Badami,524,Bagalkote
598744,Shirabadagi,5446,Badami,524,Bagalkote
598712,Somanakoppa,5446,Badami,524,Bagalkote
598630,Sulikeri,5446,Badami,524,Bagalkote
598731,Sulla,5446,Badami,524,Bagalkote
598725,Talakawad,5446,Badami,524,Bagalkote
598707,Tappasakatti,5446,Badami,524,Bagalkote
598761,Thaminal,5446,Badami,524,Bagalkote
598719,Timmapur S.N.,5446,Badami,524,Bagalkote
598700,Ugalawat,5446,Badami,524,Bagalkote
598728,Wadawatti,5446,Badami,524,Bagalkote
598624,Yandigeri,5446,Badami,524,Bagalkote
598648,Yankanchi,5446,Badami,524,Bagalkote
598646,Yaragoppa Inam,5446,Badami,524,Bagalkote
598757,Yaragoppa.S.B,5446,Badami,524,Bagalkote
598827,Achanur,5447,Bagalkot,524,Bagalkote
598815,Alur,5447,Bagalkot,524,Bagalkote
598782,Anadinni,5447,Bagalkot,524,Bagalkote
598792,Andamuranal,5447,Bagalkot,524,Bagalkote
598773,Ankalagi,5447,Bagalkot,524,Bagalkote
598844,Bagalkot (Rural),5447,Bagalkot,524,Bagalkote
598783,Bannidinni,5447,Bagalkot,524,Bagalkote
598812,Basavanagar,5447,Bagalkot,524,Bagalkote
598857,Benakatti,5447,Bagalkot,524,Bagalkote
598823,Bennur,5447,Bagalkot,524,Bagalkote
598860,Bevinamatti-S.Haveli,5447,Bagalkot,524,Bagalkote
598853,Bevoor,5447,Bagalkot,524,Bagalkote
598847,Bhagavati,5447,Bagalkot,524,Bagalkote
598856,Bhairamatti,5447,Bagalkot,524,Bagalkote
598828,Bilkerur,5447,Bagalkot,524,Bagalkote
598852,Bodanayakdinni,5447,Bagalkot,524,Bagalkote
598837,Bommanagi,5447,Bagalkot,524,Bagalkote
598780,Chebbi,5447,Bagalkot,524,Bagalkote
598807,Chick Hodlur,5447,Bagalkot,524,Bagalkote
598838,Chick Myageri,5447,Bagalkot,524,Bagalkote
598817,Chick Sitimani,5447,Bagalkot,524,Bagalkote
598801,Chickka-Shellikeri,5447,Bagalkot,524,Bagalkote
598777,Chikk-Sansi,5447,Bagalkot,524,Bagalkote
598813,Chikkgulabal,5447,Bagalkot,524,Bagalkote
598808,Chikkmuramatti,5447,Bagalkot,524,Bagalkote
598842,Chitaginakopp,5447,Bagalkot,524,Bagalkote
598854,Choudapur,5447,Bagalkot,524,Bagalkote
598843,Devalapur (S.M.),5447,Bagalkot,524,Bagalkote
598778,Devanal,5447,Bagalkot,524,Bagalkote
598816,Dharmnagar,5447,Bagalkot,524,Bagalkote
598836,Domanal,5447,Bagalkot,524,Bagalkote
598863,Durgadevinagar,5447,Bagalkot,524,Bagalkote
598803,Durganagar,5447,Bagalkot,524,Bagalkote
598796,Gaddankeri,5447,Bagalkot,524,Bagalkote
598775,Govindkopp,5447,Bagalkot,524,Bagalkote
598850,Hallur,5447,Bagalkot,524,Bagalkote
598839,Handaragala,5447,Bagalkot,524,Bagalkote
598840,Hire Myageri,5447,Bagalkot,524,Bagalkote
598806,Hire-Hodlur,5447,Bagalkot,524,Bagalkote
598776,Hire-Sansi,5447,Bagalkot,524,Bagalkote
598802,Hire-Shellikeri,5447,Bagalkot,524,Bagalkote
598811,Hiregulabal,5447,Bagalkot,524,Bagalkote
598809,Hiremuramatti,5447,Bagalkot,524,Bagalkote
598784,Honaralli,5447,Bagalkot,524,Bagalkote
598859,Honnakatti,5447,Bagalkot,524,Bagalkote
598830,Hosur,5447,Bagalkot,524,Bagalkote
598805,Ilal,5447,Bagalkot,524,Bagalkote
598855,Ingalagi,5447,Bagalkot,524,Bagalkote
598821,Jadramakunti,5447,Bagalkot,524,Bagalkote
598848,Kadalimatti,5447,Bagalkot,524,Bagalkote
598789,Kadampur,5447,Bagalkot,524,Bagalkote
598774,Kaladgi,5447,Bagalkot,524,Bagalkote
598800,Kalasakopp,5447,Bagalkot,524,Bagalkote
598786,Kesanur *,5447,Bagalkot,524,Bagalkote
598799,Khajjidoni,5447,Bagalkot,524,Bagalkote
598846,Kirasur,5447,Bagalkot,524,Bagalkote
598826,Lavaleshavar,5447,Bagalkot,524,Bagalkote
598845,Mallapur,5447,Bagalkot,524,Bagalkote
598829,Manahalli,5447,Bagalkot,524,Bagalkote
598834,Mankani,5447,Bagalkot,524,Bagalkote
598858,Mannikatti,5447,Bagalkot,524,Bagalkote
598814,Mastihal,5447,Bagalkot,524,Bagalkote
598862,Muchakhandi,5447,Bagalkot,524,Bagalkote
598849,Mudapaljivi,5447,Bagalkot,524,Bagalkote
598841,Mudavinkopp,5447,Bagalkot,524,Bagalkote
598825,Mugalalli,5447,Bagalkot,524,Bagalkote
598795,Muranal,5447,Bagalkot,524,Bagalkote
598810,Muttatti,5447,Bagalkot,524,Bagalkote
598832,Nagaral,5447,Bagalkot,524,Bagalkote
598831,Nagasampagi,5447,Bagalkot,524,Bagalkote
598833,Nainegali,5447,Bagalkot,524,Bagalkote
598787,Nakargundi,5447,Bagalkot,524,Bagalkote
598866,Neelanagar,5447,Bagalkot,524,Bagalkote
